f479.60c5.d88c	Gi6/0/0        
a0e0.aff2.4820	Gi4/0/5        
dc99.1401.6c56	Gi4/0/2        
00a0.26c6.5241	Gi6/0/0        
8069.33c0.b5ea	Gi6/0/0        
0021.941a.223a	100GE7/0/0     
5489.9818.bdb2	Gi4/0/0        
f479.6084.9ecf	Gi6/0/2        
0020.d237.67c5	Gi4/0/3        
c4b8.b46e.1fac	Gi6/1/2        
0018.1846.c013	Gi6/0/2        
0020.d246.1896	Gi4/0/5        
8c68.c891.b3c4	Gi6/1/2        
0020.d256.a544	Gi6/0/2        
28b4.4861.08df	Gi6/0/0        
00d0.d656.e6d7	Gi6/0/0        
649e.f31c.2bac	Gi6/0/2        
0800.3e0e.00e6	Gi6/0/2        
