f02f.a75b.bba4	100GE7/0/0     
0021.9433.1a97	Gi6/0/4        
00f8.2c0e.0245	100GE7/0/0     
a493.4c39.23ea	Eth-Trunk3     
0c41.e9c9.fd6c	100GE7/0/0     
0800.3e09.91f6	100GE7/0/0     
40ee.dd55.02f2	100GE7/0/0     
4cb1.6cf4.05ee	100GE7/0/0     
487b.6bf6.03aa	100GE7/0/0     
0800.3edd.8bde	Gi6/0/4        
5078.b399.a73c	Gi6/0/4        
ecbd.1d7e.f200	100GE7/0/0     
ec4d.4773.91d2	100GE7/0/0     
28c7.ceac.85e5	100GE7/0/0     
6cb2.aee8.8340	100GE7/0/0     
60de.f3c6.e7c8	100GE7/0/0     
8069.33c0.b5ea	100GE7/0/0     
00a0.26c6.5399	Gi6/0/4        
0488.5fd0.922d	100GE7/0/0     
e097.96b3.2234	100GE7/0/0     
2c97.b16e.82da	100GE7/0/0     
44d3.ca1b.a0e4	100GE7/0/0     
5078.b397.e2c4	Gi4/0/1        
0021.9431.e7db	Gi6/0/4        
f098.3877.f83f	100GE7/0/0     
7079.b310.9840	100GE7/0/0     
40ee.dd10.d55c	100GE7/0/0     
d0ef.c171.963c	100GE7/0/0     
c464.136f.b8ce	100GE7/0/0     
10b3.d6d7.f280	100GE7/0/0     
f098.3877.f188	100GE7/0/0     
f07f.062c.efc0	100GE7/0/0     
501c.bfdb.6495	100GE7/0/0     
2841.c6ab.3cf2	100GE7/0/0     
682c.7b89.99a5	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
d4e8.80d4.51c0	100GE7/0/0     
f8c2.8840.1441	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0800.3ebd.b0ea	100GE7/0/0     
0800.3e0e.01e4	Gi6/0/4        
2c97.b16e.790e	100GE7/0/0     
b4de.314c.bec1	100GE7/0/0     
c4b8.b46e.1fac	100GE7/0/0     
ec4d.4773.935e	100GE7/0/0     
c8a7.76c3.f8b1	Gi6/0/4        
ec4d.4773.9838	100GE7/0/0     
70ca.9b57.c4a6	100GE7/0/0     
00f8.2c0e.efd5	100GE7/0/0     
70ca.9b57.c99e	100GE7/0/0     
c464.136f.c4d4	Gi6/0/4        
f02f.a75b.bba6	100GE7/0/0     
3400.a3e2.8390	Gi6/0/4        
001a.e30c.5e58	Gi6/0/4        
50f7.222e.36a5	100GE7/0/0     
7c1c.f140.c306	100GE7/0/0     
60de.f3c6.e7cd	100GE7/0/0     
b07d.47e7.65c5	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0021.9417.6dd0	Gi4/0/1        
682c.7b89.aa45	100GE7/0/0     
d0ef.c1a8.11ad	Gi6/0/4        
6cb2.aee8.8a80	100GE7/0/0     
0081.c439.0601	100GE7/0/0     
6cb2.aee8.8c00	100GE7/0/0     
643e.8c8c.4589	100GE7/0/0     
b08b.cff5.e8c0	100GE7/0/0     
001f.ca23.ad98	100GE7/0/0     
