0021.9417.d6c4	Gi0/2/4        
0026.4466.aaf0	Gi0/2/4        
0021.9433.4377	Gi0/2/4        
0021.9409.c55e	Gi0/2/4        
0026.44bf.bcdc	Gi0/2/5        
b0ac.d21e.2f77	Gi0/2/4        
0021.9423.fc9c	Gi0/2/4        
b4f5.8e12.c912	Gi0/2/4        
8c68.c891.bc70	Gi0/2/4        
646d.6c6d.e67f	Gi0/2/5        
5078.b398.e60c	Gi0/2/4        
1c59.9ba2.7c77	Gi0/2/4        
8c68.c891.4c18	Gi0/2/4        
0020.d23b.e548	Gi0/2/4        
0021.9431.537f	Gi0/2/4        
b0ac.d266.ef69	Gi0/2/4        
f07f.0624.4800	Gi0/2/4        
0014.7ff5.529a	Gi0/2/5        
7c39.53f8.f3d7	Gi0/2/4        
807d.14e6.5974	Gi0/2/4        
940b.19c3.742b	Gi0/2/5        
0021.9417.bfe4	Gi0/2/4        
b4f5.8e12.a622	Gi0/2/4        
d060.8c0d.b0c4	Gi0/2/5        
8c68.c891.b588	Gi0/2/4        
0021.942b.2328	Gi0/2/4        
0020.d242.3996	Gi0/2/4        
f88e.85bb.b451	Gi0/2/4        
940b.19c3.e8c3	Gi0/2/5        
8c68.c891.3e58	Gi0/2/5        
646d.6c6d.b7ee	Gi0/2/4        
0021.9409.863a	Gi0/2/4        
5078.b398.3bc4	Gi0/2/5        
0021.941e.096c	Gi0/2/4        
ecf0.feed.5050	Gi0/2/4        
0021.9432.3f2b	Gi0/2/4        
0021.9409.9990	Gi0/2/4        
807d.14e6.8026	Gi0/2/4        
d060.8c0d.6194	Gi0/2/4        
807d.14e6.57ad	Gi0/2/5        
0021.9431.e9df	Gi0/2/4        
b0ac.d267.376b	Gi0/2/4        
8c15.c79a.eaf7	Gi0/2/4        
0021.9423.4644	Gi0/2/4        
ec4d.4773.9291	Gi0/2/4        
0021.9431.4353	Gi0/2/4        
d060.8c0e.0f74	Gi0/2/5        
b0ac.d21d.30d7	Gi0/2/5        
0014.7ff2.847a	Gi0/2/4        
7c39.53f9.fa0f	Gi0/2/4        
b0ac.d21d.31e3	Gi0/2/4        
0021.941f.9626	Gi0/2/4        
1c59.9ba2.a121	Gi0/2/4        
7c39.53f8.d59b	Gi0/2/4        
8069.338d.96d2	Gi0/2/4        
b4f5.8e12.d347	Gi0/2/4        
1c59.9ba2.4e4e	Gi0/2/5        
3099.3597.a2eb	Gi0/2/4        
d060.8c0e.113c	Gi0/2/5        
d060.8c0d.47cc	Gi0/2/4        
0026.4466.ac78	Gi0/2/4        
c471.fe10.f920	Gi0/2/4        
b4f5.8e12.a9d7	Gi0/2/4        
646d.6c6e.1f38	Gi0/2/4        
0021.942d.2110	Gi0/2/4        
646d.6c6f.2dfc	Gi0/2/4        
78c1.a722.26ce	Gi0/2/4        
807d.14d9.3650	Gi0/2/4        
0021.942b.a866	Gi0/2/4        
0021.9431.53e5	Gi0/2/4        
f063.f917.5425	Gi0/2/4        
0020.d237.f482	Gi0/2/4        
ecf0.feec.e428	Gi0/2/4        
0021.9433.c843	Gi0/2/4        
ecf0.feec.e8e0	Gi0/2/4        
d060.8c0d.3d32	Gi0/2/5        
0021.9410.bd2c	Gi0/2/4        
b0ac.d267.46c3	Gi0/2/4        
0021.9434.1a9f	Gi0/2/4        
ec4d.4773.91d2	Gi0/2/4        
0021.9409.b292	Gi0/2/4        
0021.942d.7f24	Gi0/2/4        
0021.9424.d9a6	Gi0/2/4        
b0ac.d21d.605b	Gi0/2/4        
b0ac.d21e.2dc7	Gi0/2/4        
ec4d.4773.9298	Gi0/2/4        
f88e.85e7.e21c	Gi0/2/4        
b0ac.d21e.2393	Gi0/2/4        
d060.8c0d.1168	Gi0/2/4        
b0ac.d267.2153	Gi0/2/4        
3872.c095.c7c4	Gi0/2/4        
b0ac.d266.5c2b	Gi0/2/4        
b0ac.d21d.67a3	Gi0/2/4        
8c68.c891.6940	Gi0/2/4        
28ff.3e21.fa9c	Gi0/2/4        
60fa.9dd1.ffd3	Gi0/2/4        
0020.d23b.7b89	Gi0/2/4        
940b.19c3.599c	Gi0/2/4        
0021.940d.50fc	Gi0/2/4        
b0ac.d21d.186b	Gi0/2/4        
d060.8c0c.fdec	Gi0/2/4        
0014.7faf.40d0	Gi0/2/4        
ecf0.feec.9408	Gi0/2/4        
646d.6c6e.1d23	Gi0/2/5        
8c68.c891.b3c4	Gi0/2/4        
0021.941d.9406	Gi0/2/4        
b0ac.d266.49e7	Gi0/2/4        
1c59.9ba2.a4e3	Gi0/2/4        
1c59.9ba2.a35d	Gi0/2/4        
f88e.857e.a9f2	Gi0/2/4        
58f3.9cca.3e40	Gi0/2/4        
d060.8c0d.47ce	Gi0/2/4        
0021.940c.c0f0	Gi0/2/4        
7c39.53f8.e9a3	Gi0/2/4        
0021.9422.9286	Gi0/2/4        
646d.6c6f.21e6	Gi0/2/4        
5078.b398.8cbc	Gi0/2/4        
d060.8c0c.7b0c	Gi0/2/4        
0021.9416.603e	Gi0/2/4        
8c68.c891.4bcc	Gi0/2/4        
8c15.c79b.23bd	Gi0/2/4        
